Country,total_sales
United Kingdom,8187806.363999851
Netherlands,284661.54
EIRE,263276.82
Germany,221698.21000000005
France,197403.90000000008
Australia,137077.26999999996
Switzerland,56385.349999999955
Spain,54774.58000000001
Belgium,40910.96
Sweden,36595.91
Japan,35340.62
Norway,35163.45999999999
Portugal,29367.02
Finland,22326.739999999998
Channel Islands,20086.29
Denmark,18768.14
Italy,16890.510000000002
Cyprus,12946.289999999997
Austria,10154.320000000002
Hong Kong,10117.039999999994
Singapore,9120.39
Israel,7907.820000000003
Poland,7213.140000000001
Unspecified,4749.790000000001
Greece,4710.52
Iceland,4310.0
Canada,3666.3800000000015
Malta,2505.4700000000007
United Arab Emirates,1902.2800000000002
USA,1730.9200000000005
Lebanon,1693.8800000000003
Lithuania,1661.06
European Community,1291.7499999999998
Brazil,1143.6000000000001
RSA,1002.3099999999998
Czech Republic,707.72
Bahrain,548.4
Saudi Arabia,131.17
